Date,Open Interest,Producer/Merchant/ Processor/User Long,Producer/Merchant/ Processor/User Short,Swap Dealers Long,Swap Dealers short,Swap Dealers Spreading,Managed Money Long,Managed Money Short,Managed Money Spreading,Other Reportables Long,Other Reportables Short,Other Reportables Spreading,Nonreportable Positions Long,Nonreportable PositionsShort
2/17/2026,293510,109722,114096,50738,16669,36905,5850,32683,41894,3018,2862,42159,3224,6242
2/10/2026,266913,97302,106358,52554,16201,34076,6318,30786,35946,2739,2021,35439,2539,6086
2/3/2026,250098,93881,98323,47697,15696,34932,5664,29643,32261,2244,2313,31260,2159,5670
1/27/2026,230568,86762,92194,45693,15035,31808,5126,28318,27901,2757,1872,28007,2514,5433
1/20/2026,217768,84506,90404,43980,12631,29783,4549,29394,22709,3103,992,25836,3302,6019
1/13/2026,202376,87023,90549,37201,11976,27705,4225,25538,19824,3024,1326,20201,3173,5257
1/6/2026,195437,83367,88017,37125,11138,25535,4410,24848,20758,2967,1495,16152,5123,7494
12/30/2025,193716,82438,86461,36762,11035,25337,4481,25445,20605,2845,1460,18183,3065,5190
12/23/2025,194120,82957,85371,36409,11122,25643,4305,26616,20690,2989,1572,18459,2668,4647
12/16/2025,187672,77195,82256,36721,8712,25284,5229,27489,20215,2903,1563,17705,2420,4448
12/9/2025,193545,82529,82254,37187,9896,25687,5545,31217,20586,2687,1687,17355,1969,4863
12/2/2025,194811,83265,79805,37776,10154,25835,5067,32254,21085,1144,2027,18698,1941,4953
11/25/2025,236050,96244,94532,42060,12381,32909,4761,31064,29696,540,1834,26292,3548,7342
11/18/2025,222172,90506,90158,39636,14056,30205,5593,28341,29107,1183,1062,23688,2254,5555
11/11/2025,213828,86562,89292,37933,15208,28148,5559,24570,28522,1549,565,23410,2145,4113
11/4/2025,204347,79424,86006,41003,15066,24446,5841,25035,28636,1062,437,21273,2662,3448
10/28/2025,213961,81423,92557,43665,16027,25015,6428,21876,32547,1607,765,20946,2330,4228
10/21/2025,214873,78343,89642,44089,16204,24986,6239,21848,35180,1984,951,21226,2826,4836
10/14/2025,208153,74136,90563,44673,15423,21659,5618,18675,35756,3156,919,20000,3155,5158
10/7/2025,206091,77612,93092,41725,16399,22040,6669,17440,33401,3689,1037,18516,2439,4166
9/30/2025,188246,79179,91876,38421,19650,14264,8319,14030,27474,2976,628,15062,2551,5262
9/23/2025,179639,74387,90499,37261,20403,13071,8682,11458,26923,3351,70,13271,2693,3944
9/16/2025,170503,68008,90802,37590,19651,11532,9243,7859,25249,4102,66,12015,2764,3329
9/9/2025,167106,64059,86352,38274,21331,11778,10237,7320,23966,3377,21,12950,2465,3388
9/2/2025,162623,63594,85389,35404,21066,11966,10740,5535,22609,3002,161,12654,2654,3243
8/26/2025,176982,69521,95382,36591,18969,14191,11333,5678,23148,3116,162,16501,2581,2951
8/19/2025,171266,70538,90824,30448,19189,13061,11503,5927,23182,3269,93,16751,2514,2239
8/12/2025,167220,67751,85002,30390,19945,12537,10865,7291,23345,3017,80,16629,2686,2391
8/5/2025,166975,70554,82409,31045,23390,12987,9479,6590,22149,2738,571,15721,2302,3158
7/29/2025,167883,72036,82359,31711,23518,13761,9244,6804,20812,2170,641,16110,2039,3878
7/22/2025,171914,78649,83481,30191,25826,12225,8638,8265,21429,2276,629,15949,2557,4110
7/15/2025,171364,73786,81246,29126,24618,15793,10066,6361,21394,2332,614,16215,2652,5123
7/8/2025,164336,72573,78386,28062,26573,13887,10023,5351,20015,1937,598,15705,2134,3821
7/1/2025,166910,69398,82820,34482,28417,14580,10241,3525,19167,1546,298,14383,3113,3720
6/24/2025,173947,69311,83805,35382,28759,14647,10008,3398,22430,1234,37,17426,3509,3445
6/17/2025,159866,60559,75148,31066,29316,12224,12514,2609,20242,1591,479,17549,4121,2299
6/10/2025,155904,58789,74356,29142,27650,13819,12945,2355,17863,1517,476,17373,4456,2012
6/3/2025,156824,62028,75034,29828,30531,12442,12071,1806,17796,1495,527,16740,4424,1948
